Name                                               Stmts   Miss  Cover
----------------------------------------------------------------------
byewait/src/handlers/base.py                         7      0   100%
byewait/src/handlers/comandaHandler.py              35     17    51%
byewait/src/handlers/comandasWebSocket.py           49     34    31%
byewait/src/handlers/credencialesHandler.py         26      1    96%
byewait/src/handlers/historialPedidosHandler.py     30     15    50%
byewait/src/handlers/loginHandler.py                33      6    82%
byewait/src/handlers/managerHandler.py              32     17    47%
byewait/src/handlers/menuHandler.py                 34      4    88%
byewait/src/handlers/menuItemScoreHandler.py        31      1    97%
byewait/src/handlers/pedidoHandler.py               48     12    75%
byewait/src/handlers/pedirCuentaHandler.py          30     15    50%
byewait/src/handlers/registerHandler.py             36      3    92%
byewait/src/handlers/restaurantesHandler.py         18      1    94%
byewait/src/services/comandaService.py              15      6    60%
byewait/src/services/credencialesService.py         36      3    92%
byewait/src/services/historialPedidosService.py     16      5    69%
byewait/src/services/itemsService.py                15      5    67%
byewait/src/services/loginService.py                20      0   100%
byewait/src/services/managerService.py              21      6    71%
byewait/src/services/menuItemScoreService.py        13      0   100%
byewait/src/services/menuService.py                  9      0   100%
byewait/src/services/pedidoService.py               16      3    81%
byewait/src/services/pedirCuentaService.py          17      8    53%
byewait/src/services/registerService.py             20      0   100%
byewait/src/services/restaurantesService.py         10      0   100%
byewait/src/repository/__init__.py                   0      0   100%
byewait/src/repository/comandaRepo.py              114    101    11%
byewait/src/repository/historialPedidosRepo.py      45     36    20%
byewait/src/repository/itemsRepo.py                 32     21    34%
byewait/src/repository/loginRepo.py                 35      4    89%
byewait/src/repository/managerRepository.py         32     24    25%
byewait/src/repository/menuItemScoreRepo.py         25      3    88%
byewait/src/repository/menuRepo.py                  53      5    91%
byewait/src/repository/pedidoRepo.py               108     76    30%
byewait/src/repository/registerRepo.py              39      8    79%
byewait/src/repository/repo.py                      13      3    77%
byewait/src/repository/restaurantesRepo.py          72     14    81%
byewait/src/services/__init__.py                     0      0   100%
