CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 3.703125 1551160751.1876
MEM 15.187500 1551160751.2879
MEM 27.425781 1551160751.3883
MEM 32.035156 1551160751.4889
MEM 32.035156 1551160751.5895
MEM 32.035156 1551160751.6902
MEM 32.035156 1551160751.7908
MEM 32.035156 1551160751.8912
MEM 32.035156 1551160751.9918
MEM 32.035156 1551160752.0925
MEM 32.035156 1551160752.1932
MEM 32.035156 1551160752.2938
MEM 32.035156 1551160752.3945
MEM 32.035156 1551160752.4950
MEM 32.035156 1551160752.5957
MEM 32.035156 1551160752.6965
MEM 32.035156 1551160752.7971
MEM 32.035156 1551160752.8977
MEM 32.035156 1551160752.9984
MEM 32.035156 1551160753.0990
MEM 32.035156 1551160753.1996
MEM 32.035156 1551160753.3003
MEM 32.035156 1551160753.4011
MEM 32.035156 1551160753.5017
MEM 32.035156 1551160753.6024
MEM 32.035156 1551160753.7031
MEM 32.035156 1551160753.8038
MEM 32.035156 1551160753.9045
MEM 32.035156 1551160754.0052
MEM 32.035156 1551160754.1058
MEM 32.035156 1551160754.2065
MEM 32.035156 1551160754.3072
MEM 32.035156 1551160754.4079
MEM 32.035156 1551160754.5086
MEM 32.035156 1551160754.6092
MEM 32.035156 1551160754.7099
MEM 32.035156 1551160754.8105
MEM 32.035156 1551160754.9112
MEM 32.035156 1551160755.0119
MEM 32.035156 1551160755.1125
MEM 32.035156 1551160755.2132
MEM 32.035156 1551160755.3138
MEM 32.035156 1551160755.4145
MEM 32.035156 1551160755.5152
MEM 32.035156 1551160755.6159
MEM 32.035156 1551160755.7165
MEM 32.035156 1551160755.8172
MEM 32.035156 1551160755.9178
MEM 32.035156 1551160756.0184
MEM 32.035156 1551160756.1191
MEM 32.035156 1551160756.2198
MEM 32.035156 1551160756.3206
MEM 32.035156 1551160756.4212
MEM 32.035156 1551160756.5219
MEM 32.035156 1551160756.6226
MEM 32.035156 1551160756.7233
MEM 32.035156 1551160756.8239
MEM 32.035156 1551160756.9246
MEM 32.035156 1551160757.0253
MEM 32.035156 1551160757.1260
MEM 32.035156 1551160757.2266
MEM 32.035156 1551160757.3273
MEM 32.035156 1551160757.4279
MEM 32.035156 1551160757.5286
MEM 32.035156 1551160757.6292
MEM 32.035156 1551160757.7299
MEM 32.035156 1551160757.8306
MEM 32.035156 1551160757.9313
MEM 32.035156 1551160758.0320
MEM 32.035156 1551160758.1327
MEM 32.035156 1551160758.2334
MEM 32.035156 1551160758.3341
MEM 32.035156 1551160758.4345
MEM 32.035156 1551160758.5351
MEM 32.035156 1551160758.6358
MEM 32.035156 1551160758.7364
MEM 32.035156 1551160758.8371
MEM 32.035156 1551160758.9378
MEM 32.035156 1551160759.0382
MEM 32.257812 1551160759.1386
MEM 32.730469 1551160759.2393
MEM 32.984375 1551160759.3396
MEM 33.109375 1551160759.4399
MEM 33.109375 1551160759.5402
MEM 33.109375 1551160759.6406
MEM 33.109375 1551160759.7409
MEM 33.109375 1551160759.8412
MEM 33.363281 1551160759.9416
MEM 33.363281 1551160760.0419
MEM 33.457031 1551160760.1422
MEM 33.457031 1551160760.2425
MEM 33.457031 1551160760.3429
MEM 33.503906 1551160760.4432
MEM 33.503906 1551160760.5435
MEM 33.519531 1551160760.6438
MEM 33.519531 1551160760.7441
MEM 33.519531 1551160760.8444
MEM 33.550781 1551160760.9447
MEM 33.550781 1551160761.0450
MEM 33.550781 1551160761.1454
MEM 33.550781 1551160761.2457
MEM 33.550781 1551160761.3461
MEM 33.550781 1551160761.4465
MEM 33.550781 1551160761.5468
MEM 33.804688 1551160761.6471
MEM 33.804688 1551160761.7474
MEM 33.804688 1551160761.8477
MEM 33.804688 1551160761.9481
MEM 33.804688 1551160762.0484
MEM 33.937500 1551160762.1488
MEM 33.937500 1551160762.2491
MEM 33.957031 1551160762.3494
MEM 33.957031 1551160762.4498
MEM 33.957031 1551160762.5501
MEM 33.984375 1551160762.6504
MEM 34.000000 1551160762.7507
MEM 34.000000 1551160762.8510
MEM 34.015625 1551160762.9514
MEM 34.015625 1551160763.0517
MEM 34.015625 1551160763.1520
MEM 34.015625 1551160763.2523
MEM 34.015625 1551160763.3526
MEM 34.015625 1551160763.4529
MEM 34.269531 1551160763.5532
