Sun Feb 24 18:07:46 2019    /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/PEF/profiling/results.txt

         960982 function calls (955396 primitive calls) in 18.116 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:183(_X509ExtensionParser)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/concurrent/futures/thread.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/concurrent/futures/process.py:360(BrokenProcessPool)
      542    0.001    0.000    0.005    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/functools.py:742(wrapper)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/httputil.py:84(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/__init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/multiprocessing/context.py:208(Process)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/transports.py:125(Transport)
        2    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/openssl/backend.py:118(_get_osurandom_engine)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/jwt/exceptions.py:25(ImmatureSignatureError)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/iostream.py:88(StreamClosedError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/logging/__init__.py:1676(basicConfig)
       88    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      114    0.000    0.000    0.000    0.000 /usr/lib/python3.5/opcode.py:41(def_op)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/_policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/concurrent/futures/_base.py:282(Future)
